surah_name|arabic_verse|english_translation
100-Al-Aadiyat|Fa Atharna Bihi Naqaa|Stirring up thereby [clouds of] dust,
100-Al-Aadiyat|Fawasatna Bihi Jamee'a|Arriving thereby in the center collectively,
100-Al-Aadiyat|Inna Al-Insana Li Rabbihi La Kanuud|Indeed mankind, to his Lord, is ungrateful.
100-Al-Aadiyat|Wa Innahu 'Alaa Thaalika La Shaheed|And indeed, he is to that a witness.

099-Al-zilzal|Idhaa zulzilatil ardu zilzaalaha|When the earth is shaken with its [final] earthquake
099-Al-zilzal|Wa akhrajatil ardu athqalaha|And the earth discharges its burdens
099-Al-zilzal|Wa qaalal insaanu maa lahaa|And man says, "What is [wrong] with it?" -
099-Al-zilzal|Yawma-iz-in tuhaddithu akhbaaraha|That Day, it will report its news
099-Al-zilzal|Bi-annna Rabbaka awhaa lahaa|Because your Lord has commanded it.
099-Al-zilzal|Yawma-iz-in yasduru nnaasu ashtaa'tal-yuraw 'aamalahum|That Day, the people will depart separated [into categories] to be shown [the result of] their deeds.
099-Al-zilzal|Faman ya'mal mithqaala dharraatin khayran yarahu|So whoever does an atom's weight of good will see it,
099-Al-zilzal|Wa man ya'mal mithqaala dharraatin sharran yarahu|And whoever does an atom's weight of evil will see it.


Testing-1|aa|a
Testing-1|bb|b
Testing-1|cc|c
Testing-1|dd|d
Testing-1|ee|e
